steps,mean 100 episode reward,episodes,% time spent exploring
202960,1788.4,266,59
204089,1800.8,267,59
204469,1805.5,268,59
205089,1796.1,269,58
205521,1797.3,270,58
205978,1796.8,271,58
206650,1790.1,272,58
206932,1793.0,273,58
207444,1800.7,274,58
207827,1808.0,275,58
208016,1789.0,276,58
208901,1795.8,277,58
209225,1794.0,278,58
209835,1809.0,279,58
211046,1798.4,280,57
211239,1794.8,281,57
211691,1797.0,282,57
212479,1804.4,283,57
213382,1798.2,284,57
214276,1810.1,285,57
214968,1818.6,286,57
215618,1821.1,287,56
216114,1826.2,288,56
216413,1817.8,289,56
216633,1807.0,290,56
217567,1811.9,291,56
219912,1816.8,292,56
220260,1817.7,293,55
220886,1822.8,294,55
221442,1829.3,295,55
221834,1826.3,296,55
222762,1829.6,297,55
223239,1830.6,298,55
223824,1839.6,299,55
224089,1840.2,300,55
224337,1843.8,301,55
224820,1838.8,302,55
225326,1839.6,303,54
225750,1837.0,304,54
226067,1841.6,305,54
226943,1859.2,306,54
227718,1860.0,307,54
228357,1873.3,308,54
228753,1865.1,309,54
229171,1856.3,310,54
229501,1848.6,311,54
229945,1855.7,312,54
230375,1856.2,313,53
230614,1844.1,314,53
230872,1840.1,315,53
231571,1852.7,316,53
232292,1857.3,317,53
232807,1853.7,318,53
233197,1862.4,319,53
233495,1855.1,320,53
234090,1857.3,321,53
234431,1862.0,322,53
234789,1861.3,323,53
235101,1861.8,324,52
235464,1864.9,325,52
235926,1871.1,326,52
236381,1864.6,327,52
236800,1861.5,328,52
237196,1860.5,329,52
237885,1864.4,330,52
238189,1855.5,331,52
238567,1860.7,332,52
238822,1854.5,333,52
239151,1856.3,334,52
239641,1851.7,335,52
240559,1864.4,336,51
240709,1856.6,337,51
241232,1856.2,338,51
241733,1864.5,339,51
242422,1872.1,340,51
242808,1864.3,341,51
243083,1862.0,342,51
243395,1855.2,343,51
243911,1861.6,344,51
244456,1871.6,345,51
244810,1859.4,346,51
245492,1865.0,347,50
245684,1854.3,348,50
246297,1855.3,349,50
246470,1849.0,350,50
246805,1842.6,351,50
247234,1844.4,352,50
247537,1846.0,353,50
247859,1852.2,354,50
248100,1852.7,355,50
248294,1845.3,356,50
248887,1848.9,357,50
249146,1838.5,358,50
249443,1843.0,359,50
249784,1843.9,360,50
250205,1849.8,361,49
250584,1852.6,362,49
250921,1852.3,363,49
251182,1849.1,364,49
251412,1842.9,365,49
252283,1850.8,366,49
252647,1835.7,367,49
252975,1835.6,368,49
253302,1839.7,369,49
253537,1838.4,370,49
253899,1840.3,371,49
254275,1842.8,372,49
254558,1844.1,373,49
255121,1853.1,374,48
255662,1857.6,375,48
256201,1877.0,376,48
256533,1867.9,377,48
256903,1868.2,378,48
257163,1862.8,379,48
258343,1866.9,380,48
258752,1879.0,381,48
259294,1885.8,382,48
259793,1887.8,383,48
260135,1887.3,384,47
260754,1886.5,385,47
261103,1872.7,386,47
261690,1873.8,387,47
262163,1876.8,388,47
262487,1877.7,389,47
262988,1887.1,390,47
263258,1877.6,391,47
263723,1872.6,392,47
264083,1872.9,393,47
264445,1860.4,394,47
264909,1855.2,395,47
265398,1859.8,396,46
265734,1863.1,397,46
266156,1865.4,398,46
266460,1858.0,399,46
266981,1876.6,400,46
267609,1890.0,401,46
267712,1878.3,402,46
267975,1876.2,403,46
268474,1876.7,404,46
268927,1875.9,405,46
269439,1863.6,406,46
269685,1854.0,407,46
270149,1851.5,408,45
270442,1853.1,409,45
270894,1863.1,410,45
271529,1871.4,411,45
272024,1876.6,412,45
272395,1884.2,413,45
272613,1886.7,414,45
272957,1896.4,415,45
273555,1887.1,416,45
273842,1882.6,417,45
274230,1884.9,418,45
274707,1881.5,419,45
275444,1901.4,420,44
275857,1897.6,421,44
276397,1906.1,422,44
276788,1907.6,423,44
277229,1906.2,424,44
277494,1897.3,425,44
277862,1893.5,426,44
278360,1898.7,427,44
278462,1884.5,428,44
278803,1892.9,429,44
279040,1882.3,430,44
279274,1883.0,431,44
279785,1885.2,432,44
280234,1893.7,433,43
280460,1891.8,434,43
280975,1893.3,435,43
281579,1889.1,436,43
282022,1898.7,437,43
282594,1903.3,438,43
282716,1886.2,439,43
283026,1876.9,440,43
283675,1896.5,441,43
284216,1897.4,442,43
284603,1905.8,443,43
284892,1905.7,444,43
285058,1890.3,445,42
285418,1886.6,446,42
285857,1890.0,447,42
286291,1900.7,448,42
286676,1907.5,449,42
286867,1909.1,450,42
287216,1920.3,451,42
287637,1919.8,452,42
287952,1922.0,453,42
288410,1926.1,454,42
288621,1926.4,455,42
288863,1931.4,456,42
289147,1926.3,457,42
289297,1922.3,458,42
289631,1923.7,459,42
289922,1918.6,460,42
290327,1920.2,461,41
290882,1924.4,462,41
291199,1922.8,463,41
291655,1924.4,464,41
292033,1933.6,465,41
292140,1917.3,466,41
292368,1912.2,467,41
292915,1923.7,468,41
293419,1936.8,469,41
293819,1940.5,470,41
294189,1947.0,471,41
294443,1946.0,472,41
294616,1941.5,473,41
295097,1947.6,474,40
295300,1939.9,475,40
295635,1932.3,476,40
295916,1924.7,477,40
296120,1918.4,478,40
296405,1914.5,479,40
296710,1909.4,480,40
297011,1899.6,481,40
297604,1902.8,482,40
298011,1904.3,483,40
298370,1910.0,484,40
298723,1904.4,485,40
298949,1905.0,486,40
299129,1892.1,487,40
299429,1886.5,488,40
300079,1899.6,489,39
300493,1904.2,490,39
300841,1913.3,491,39
300947,1902.6,492,39
301409,1907.8,493,39
301775,1911.5,494,39
302121,1915.5,495,39
302297,1907.1,496,39
302877,1914.3,497,39
303118,1906.1,498,39
303545,1906.0,499,39
304181,1903.6,500,39
304398,1890.1,501,39
304803,1904.0,502,39
305199,1907.6,503,38
305657,1910.0,504,38
305855,1906.6,505,38
307123,1911.7,506,38
307355,1911.1,507,38
307739,1903.7,508,38
308056,1903.4,509,38
308504,1898.6,510,38
308842,1895.6,511,38
309122,1890.9,512,38
309486,1882.7,513,38
309717,1879.2,514,38
309914,1870.0,515,38
310241,1858.8,516,37
310589,1857.2,517,37
311484,1856.2,518,37
312233,1882.6,519,37
312708,1874.9,520,37
312917,1866.7,521,37
313108,1850.3,522,37
313548,1852.9,523,37
313995,1855.3,524,37
314304,1862.7,525,37
314428,1853.3,526,37
314759,1852.0,527,37
315231,1866.0,528,36
315545,1861.4,529,36
316142,1873.5,530,36
316622,1882.6,531,36
317224,1894.5,532,36
317698,1901.6,533,36
317915,1901.1,534,36
318259,1891.7,535,36
318425,1874.7,536,36
318574,1868.8,537,36
319098,1868.2,538,36
319454,1880.8,539,36
319843,1879.4,540,36
320065,1855.6,541,35
320369,1846.4,542,35
320518,1834.9,543,35
320805,1832.7,544,35
321024,1833.9,545,35
321174,1830.3,546,35
321382,1817.8,547,35
321638,1815.1,548,35
322060,1817.7,549,35
322511,1821.7,550,35
322828,1814.2,551,35
323070,1809.3,552,35
323304,1805.1,553,35
323569,1801.3,554,35
323871,1804.9,555,35
324136,1808.0,556,35
324301,1800.1,557,35
