#{"t_start": 1533752759.8845637, "env_id": "SuperMarioBros-v1"}
r,l,t
1212,205,9164.80815
612,85,9175.307589
1344,275,9205.888497
601,92,9218.413913
846,128,9232.843365
597,107,9245.551911
840,136,9261.79186
1147,145,9280.024766
1327,203,9303.268207
743,145,9321.170461
2337,424,9369.623293
605,75,9381.029222
1649,232,9407.275439
1412,203,9431.269964
131,34,9435.328764
1038,164,9457.257669
1415,226,9483.840229
1034,182,9506.645163
461,73,9515.497518
232,41,9521.048231
1469,202,9545.981122
232,35,9551.333708
862,209,9576.505899
612,103,9590.285604
1627,265,9621.504761
628,77,9632.009242
1238,199,9653.546954
1302,235,9682.509093
249,41,9687.459832
1043,181,9710.391511
1380,190,9733.545545
1823,306,9770.21252
226,41,9775.549218
807,183,9800.042386
834,92,9810.881581
735,145,9830.944108
969,212,9857.723254
612,79,9868.014359
2855,447,9921.376064
806,190,9945.466115
1411,182,9967.425357
742,140,9986.648836
845,111,9998.630475
625,78,10010.113551
1235,161,10028.35108
731,112,10043.746211
823,140,10060.508847
1326,216,10086.562815
170,34,10090.260967
1025,239,10119.918433
1231,222,10144.275509
1560,218,10171.557435
173,32,10175.245663
1691,218,10201.810073
171,34,10206.228206
1336,153,10228.599544
171,33,10233.361114
1051,133,10252.442884
1643,239,10285.137859
599,57,10294.160657
1400,351,10340.539433
1347,147,10361.66946
157,32,10366.226689
1339,182,10391.245299
155,32,10395.376089
1683,263,10431.342313
164,34,10435.79905
231,33,10442.083131
1400,171,10467.059104
607,94,10480.379725
1627,289,10519.183348
616,71,10530.499608
1661,242,10561.780787
613,76,10574.290686
1199,213,10604.085109
604,135,10623.814596
1350,377,10676.000131
796,240,10711.392687
1737,384,10763.628558
626,89,10776.458638
2059,413,10831.520842
238,31,10836.832192
1649,377,10886.641661
632,77,10898.456436
1188,148,10918.56015
1337,218,10952.018069
1237,269,10987.948589
1411,276,11025.786464
738,90,11038.692278
1406,261,11074.066289
122,35,11079.135089
1561,254,11118.5818
253,42,11125.239967
247,30,11131.088238
1043,156,11154.611004
604,61,11164.337115
1263,182,11189.168597
606,74,11200.128064
1990,501,11270.231461
1319,206,11300.787212
400,54,11309.933019
601,94,11325.608855
1485,222,11356.080302
1427,163,11380.62881
324,48,11388.144443
243,29,11394.793104
1557,360,11442.73069
1043,157,11467.411312
827,130,11485.943988
1049,156,11507.100066
1040,169,11531.381095
640,137,11552.344523
837,120,11569.453941
602,76,11582.979494
1839,331,11630.694418
