#{"t_start": 1533577152.0720773, "env_id": "SuperMarioBros-v1"}
r,l,t
1518,619,14.69114
1043,195,19.434119
1883,1302,54.173491
1710,1706,101.619475
2330,1556,144.640791
1407,412,157.44429
1199,419,171.457614
1698,1059,214.023734
1949,1964,291.339156
1409,354,306.238192
1683,691,334.552637
1028,215,343.344587
1526,558,366.505019
1413,860,401.230812
1382,788,434.821055
1406,1589,497.71928
2270,802,531.324482
1083,230,542.669066
1942,1722,608.870088
1202,375,625.545525
2433,2122,710.827693
1925,692,738.032098
1218,382,753.948516
1726,595,777.725749
1379,509,800.006467
1895,576,824.213231
1578,558,848.344295
1110,564,872.155062
2534,1072,918.781321
1712,1011,960.296633
1164,299,974.249211
1530,397,990.896446
2161,528,1011.783415
1553,481,1031.463021
1568,447,1050.599138
1990,656,1076.032648
1808,641,1101.522317
2621,1263,1152.233553
1902,357,1167.203077
1440,450,1185.581919
1068,222,1195.421936
2388,499,1215.83242
1818,436,1232.987413
2205,522,1254.068971
2117,505,1275.14753
2707,1373,1328.28782
1548,419,1345.158551
1552,380,1360.130451
1168,225,1369.509341
2261,455,1387.346813
1444,299,1400.137061
2382,617,1424.232142
2235,648,1452.849822
2029,416,1473.357637
1423,333,1487.798194
1601,361,1502.997194
1942,406,1519.577427
1532,517,1540.217885
2693,591,1565.62246
1423,274,1577.785118
2261,605,1603.415946
2658,516,1624.44407
1934,457,1642.09202
1531,320,1656.415529
1738,437,1674.388906
1826,429,1691.232843
1414,238,1700.570736
2206,757,1730.402594
2032,480,1750.149291
2257,373,1766.218348
2625,686,1794.741899
1413,314,1807.70175
1941,367,1822.968492
2060,524,1845.286992
2538,518,1866.667056
1664,312,1879.621712
1641,382,1894.583449
2949,525,1915.270474
2752,682,1943.466303
2121,380,1959.960695
1797,423,1978.718256
686,113,1984.391184
1825,427,2003.1212
2067,479,2021.754523
1907,331,2034.73306
1557,364,2049.013404
1469,276,2060.241574
2507,773,2091.600579
1900,258,2102.809392
1073,166,2110.494066
1066,187,2118.411331
2965,545,2142.102623
1075,166,2149.682094
1419,263,2160.973199
2651,443,2179.561944
1597,308,2193.294588
1974,447,2211.44893
3650,782,2243.154663
1054,200,2251.795621
2734,629,2276.671977
1412,350,2291.622888
1169,266,2303.446953
1981,354,2317.882587
2748,540,2340.41259
1388,290,2353.252169
1846,286,2365.36195
1188,246,2375.810957
1831,281,2387.430072
2282,512,2408.386098
675,122,2413.990778
1081,170,2421.251379
1964,318,2433.960169
1056,169,2441.184616
1845,392,2457.428519
1039,206,2465.718953
1581,277,2477.210444
1066,169,2484.599808
1858,376,2500.619544
1064,246,2511.217359
2001,404,2527.697604
670,121,2533.475183
1843,370,2548.784861
2279,450,2567.121493
2533,455,2586.866254
2355,399,2602.883475
1662,349,2617.187719
1218,239,2626.919225
1783,354,2641.987511
1576,379,2657.799367
1837,311,2671.739145
1557,317,2685.139853
1981,389,2700.924916
1501,268,2712.238099
2016,365,2727.309642
1884,321,2740.385196
699,109,2745.410095
2793,466,2763.892183
2526,449,2782.037379
2607,506,2801.493545
1878,361,2816.243302
1208,254,2826.407808
1896,340,2840.00843
1209,239,2850.396206
1433,281,2862.158497
2407,430,2880.909846
1460,233,2891.696131
2284,430,2910.202141
2357,513,2933.855768
1642,294,2949.515948
1502,251,2962.370817
1940,331,2979.290414
1414,363,2997.481418
2218,401,3018.136715
1486,286,3034.324516
1496,284,3048.68901
2222,407,3075.192281
1812,308,3091.745124
2334,419,3114.322187
1798,312,3134.160828
1467,225,3145.714482
2402,450,3168.54778
652,127,3175.443798
1561,289,3190.41613
1714,498,3215.588629
1057,157,3224.344619
676,122,3231.240614
1672,417,3253.005975
1048,210,3265.16463
1065,164,3274.725627
1566,276,3288.579685
1090,152,3297.599665
1106,144,3305.221461
1441,246,3317.88588
1477,477,3341.417579
1024,416,3363.058772
1050,294,3378.169059
1871,344,3396.395059
2681,421,3415.436955
1076,138,3423.471736
1471,287,3438.439171
1090,228,3450.00805
1595,284,3465.049026
1109,146,3473.654196
1279,231,3486.064819
1524,180,3496.353527
729,99,3502.697443
739,2060,3603.874202
673,106,3610.475866
674,113,3616.931289
1767,1049,3667.769006
1707,659,3699.37413
706,96,3704.969056
700,94,3710.119653
1095,151,3717.789031
1080,170,3726.930724
720,91,3732.557249
704,93,3738.447805
1901,260,3751.92335
715,90,3757.451877
1108,146,3766.187346
705,94,3772.438889
721,90,3777.944563
717,92,3783.924753
707,93,3789.300579
714,92,3795.058414
1631,455,3819.709316
1076,154,3828.215308
719,97,3834.678879
704,102,3841.017051
1079,169,3850.915154
1643,348,3869.852947
1065,211,3881.07646
1540,237,3893.693343
1088,198,3904.324736
1499,262,3917.85025
721,90,3922.797916
1829,463,3945.326717
1705,255,3958.298962
1108,143,3966.158628
1076,175,3975.472586
1083,143,3982.953041
700,96,3988.8187
720,93,3994.816951
1439,303,4009.924209
1079,191,4020.251236
1103,156,4028.876709
2300,401,4049.971322
715,91,4055.598238
720,94,4061.659578
2223,350,4078.863308
1436,215,4090.174993
1872,270,4103.803
2524,296,4118.926491
1062,198,4130.235577
1093,146,4140.237489
1613,246,4152.852085
1728,233,4165.559378
1117,179,4175.364262
1046,164,4184.950777
1075,128,4192.193241
2160,260,4205.570455
716,96,4211.409502
2186,305,4227.550659
2006,378,4246.278153
1859,345,4264.098327
716,98,4269.285925
