#{"t_start": 1533574193.0956228, "env_id": "SuperMarioBros-v1"}
r,l,t
1515,619,13.026954
1043,195,17.116467
1453,394,24.562548
1318,772,38.453433
1871,487,47.49412
3639,803,61.954508
2415,1152,82.472123
1373,613,93.946213
1166,317,100.201343
2381,1896,133.672086
2360,739,147.126624
2135,694,160.055401
1572,485,169.23675
1828,380,176.482091
1404,503,187.088428
2163,781,217.211259
1639,870,250.46612
1599,323,263.398029
2775,1993,340.279551
1038,225,349.499892
2613,1277,398.538239
1409,736,426.965349
1582,355,440.948618
1424,908,476.046701
1559,329,489.938783
1352,965,529.519122
1034,318,542.712652
2037,411,559.22286
1426,306,571.948513
2348,1053,613.035946
2302,487,632.365026
1331,754,661.196331
2031,479,679.852816
2122,708,707.348607
1415,302,719.370308
1343,748,747.989853
1387,1071,789.545921
1619,319,802.894422
1054,194,811.085168
672,132,817.028567
1846,1362,871.346595
609,198,879.581054
2594,730,907.879055
2262,1191,954.112975
1442,226,963.274546
1638,377,978.157663
1030,223,987.583769
1602,300,1000.011484
1430,367,1014.883909
1413,236,1024.758713
1238,263,1035.470393
1735,643,1060.163189
1067,167,1067.170641
1505,400,1083.199317
2509,411,1100.476218
1061,159,1107.156714
1024,165,1113.960997
1463,383,1128.92993
3060,499,1148.150532
2484,448,1165.861531
2031,534,1187.106536
2815,465,1205.244233
1609,533,1225.764041
1437,432,1242.580883
2541,483,1261.703984
2345,560,1283.815609
1867,410,1300.145442
1851,419,1316.655114
1507,496,1336.69627
2453,468,1356.245883
1974,373,1372.126515
1861,287,1383.516018
2540,532,1404.125885
672,105,1408.826728
671,167,1415.708675
1951,333,1429.604231
1065,167,1436.472118
2355,715,1463.859468
1648,431,1480.626028
1063,211,1489.254677
1472,400,1504.874396
1516,311,1517.162832
1033,180,1524.636975
1422,286,1536.078549
3427,754,1565.279854
1414,313,1578.122024
2260,386,1593.753236
2416,891,1628.993603
1741,370,1643.388919
714,93,1647.616728
2723,486,1666.420644
1047,230,1675.782227
720,88,1679.744975
715,88,1683.728125
1126,345,1697.923245
697,111,1702.827947
1156,311,1715.068246
1057,215,1723.81484
2229,858,1757.613194
1457,569,1779.676013
1441,159,1786.332955
2139,281,1797.930011
1030,1025,1837.510474
1856,317,1850.119518
1840,654,1875.465558
1584,800,1907.373431
1518,196,1915.436492
1610,750,1944.232756
728,91,1948.384299
708,96,1952.668921
724,91,1956.825384
725,90,1960.837087
720,91,1964.995017
722,92,1969.147697
1214,634,1993.453931
716,94,1997.625304
487,1015,2036.160363
665,121,2041.322487
668,125,2046.653715
666,121,2051.932806
666,121,2057.265961
663,123,2062.94431
664,121,2068.218903
664,122,2073.561213
666,121,2079.006775
666,121,2084.205522
668,127,2089.87631
653,174,2097.303144
665,121,2102.84813
666,121,2108.158145
666,121,2113.593406
666,121,2119.104411
666,121,2124.418187
664,121,2129.759695
666,121,2134.980869
667,122,2140.176572
666,121,2145.691916
670,119,2150.817642
666,121,2156.129305
585,2087,2235.743765
666,121,2241.049958
1058,322,2253.784892
1133,662,2280.099588
1229,278,2291.629735
716,89,2295.907299
716,91,2300.071198
714,89,2304.090603
1014,689,2330.65623
1184,721,2359.589979
716,91,2364.066849
