#{"env_id": "SuperMarioBros-v1", "t_start": 1534094510.9010453}
r,l,t
1314,175,3181.66251
155,31,3183.31169
1678,240,3196.272301
169,31,3197.946402
1142,146,3206.021209
1652,203,3216.369524
587,77,3221.130405
2430,357,3239.492918
804,150,3247.789754
1394,170,3256.785363
1835,301,3272.60824
382,57,3275.608213
591,67,3279.658636
1998,260,3293.210696
1338,137,3300.936013
1232,165,3309.349456
1037,120,3316.293751
1415,212,3327.254535
239,27,3329.333027
1641,193,3339.109811
795,194,3349.880155
1183,156,3357.812804
599,75,3362.245593
1628,204,3372.903717
578,130,3380.796946
1624,254,3393.995628
1846,239,3406.744419
105,34,3408.591383
729,129,3415.711631
827,93,3420.639526
234,27,3422.67706
1653,298,3438.009666
1264,411,3459.293463
690,76,3463.284934
604,73,3467.708641
1610,246,3480.491035
223,29,3482.558223
1891,329,3499.592486
1534,354,3518.099987
158,34,3519.958024
1314,230,3532.701814
669,96,3537.551245
1039,111,3543.705251
1864,334,3560.86271
224,32,3563.182726
968,141,3571.079232
1405,258,3586.489125
213,41,3588.940728
603,87,3594.934396
1861,289,3611.734469
1030,128,3619.788629
1853,419,3644.108237
601,69,3648.463218
2034,393,3670.948576
1318,169,3681.522518
682,79,3686.611476
232,27,3688.619752
1227,153,3697.45218
591,77,3702.859831
1034,186,3713.704161
619,87,3719.453758
2019,441,3744.423911
610,77,3749.218947
2068,276,3765.279123
1314,247,3778.334032
204,46,3781.037045
233,28,3783.111711
2951,381,3803.860371
600,95,3809.694416
2065,340,3827.927912
599,97,3833.591506
1542,221,3845.332812
615,77,3850.103393
1826,320,3867.437089
615,84,3872.749506
1654,208,3884.109857
1555,181,3894.644056
376,57,3897.748854
704,211,3909.843266
2058,287,3925.328469
615,66,3929.45124
1953,297,3946.430898
601,79,3951.968433
831,99,3957.419246
631,133,3964.98196
2351,355,3984.242722
1333,159,3992.829324
367,53,3995.477046
615,83,4000.603386
1740,239,4012.735282
603,67,4016.704281
999,292,4031.493043
796,189,4041.310045
1727,223,4053.088391
618,78,4057.885628
2215,330,4075.252095
220,32,4077.706418
2858,652,4112.907074
1032,142,4121.176803
1254,216,4132.61895
1411,231,4144.930606
961,99,4149.899904
661,453,4173.02569
1300,239,4185.31989
630,136,4192.610878
1936,270,4206.117087
797,182,4216.334037
2462,443,4239.524798
1413,215,4252.042612
905,104,4257.372894
1141,117,4264.245634
2383,498,4291.611891
805,142,4300.102027
1232,321,4317.572341
1397,267,4332.802137
213,45,4335.399347
1027,169,4345.071449
1904,336,4363.790378
1316,166,4373.170426
733,86,4377.708769
1554,162,4387.047148
969,112,4393.358354
1297,256,4407.977556
1395,190,4418.191507
1149,1071,4475.988143
847,107,4481.93886
1031,155,4491.101385
1346,235,4503.60476
239,27,4505.739946
1548,249,4518.982684
1038,219,4531.631112
1657,314,4548.770359
597,58,4552.440375
1489,158,4561.107812
237,32,4563.611157
1267,159,4572.186994
597,71,4577.240415
1470,208,4587.76176
591,58,4591.367164
1657,201,4602.56371
1010,246,4615.501198
