#{"t_start": 1533577308.781396, "env_id": "SuperMarioBros-v1"}
r,l,t
1518,619,17.557447
1043,195,23.469585
2294,1733,193.741828
1784,399,237.844216
1695,1132,357.975017
1564,559,416.827255
1379,1330,554.481684
1616,1512,715.632033
1444,1740,897.971582
1106,476,946.256261
1795,675,1017.688357
1690,943,1114.293548
1956,685,1183.842299
1965,359,1220.38829
2186,886,1316.301449
1870,468,1364.591695
1926,611,1429.874195
2259,524,1484.553529
1761,500,1536.980169
3103,1951,1738.920065
2296,996,1847.457597
1738,885,1937.750332
1892,550,1995.673566
1135,256,2023.411842
1571,724,2099.209436
2133,773,2180.764221
1820,633,2245.381044
1959,778,2323.979531
1138,447,2370.017288
1020,240,2395.521347
1339,883,2487.280267
2210,748,2564.495655
2214,709,2635.503443
1538,340,2670.093987
1826,399,2711.018995
2083,797,2805.516174
1742,635,2886.125497
1450,285,2928.912272
1144,566,3006.399075
1707,1071,3142.62435
1154,311,3182.102605
1726,633,3261.819173
2177,567,3334.135695
2147,828,3442.244968
1758,461,3500.978158
2265,487,3562.149523
1769,510,3627.108066
1988,1655,3837.705178
2245,1104,3976.225018
1993,716,4066.73425
1834,498,4128.399291
2186,841,4227.957428
1926,554,4283.470596
1564,349,4318.588363
1417,255,4344.526934
2098,547,4400.026227
1409,331,4433.628263
2213,456,4479.654277
2643,500,4529.689163
2290,630,4594.367105
1085,154,4610.309691
1429,224,4633.192992
2435,675,4702.388608
1988,397,4741.982491
1401,401,4782.056633
2619,627,4843.72464
1591,281,4872.362184
1977,404,4913.561025
1575,304,4944.025312
2418,528,4996.105929
2665,513,5045.770791
1422,330,5070.960535
1408,276,5092.118477
1446,287,5114.041595
2106,614,5160.290416
1412,443,5194.20578
1940,671,5244.609762
1442,355,5271.702773
2121,489,5316.683018
2567,576,5368.697711
2145,494,5412.531407
2740,669,5472.511553
1844,363,5505.610359
1860,346,5536.638344
1681,745,5602.988623
2604,532,5650.997154
695,102,5660.659231
1629,309,5689.156004
1525,489,5733.149319
2394,475,5776.135026
1445,238,5796.613609
1598,399,5829.281285
1631,353,5859.207594
2629,575,5904.527223
1843,344,5933.060174
1448,249,5953.593317
2744,542,5998.843581
2787,418,6031.804446
1444,210,6048.710694
1167,216,6066.493654
1049,166,6080.124971
2343,417,6115.063327
1461,228,6135.90726
2788,412,6172.680552
2374,463,6212.543894
2481,468,6254.411715
1417,292,6280.799938
686,114,6291.445571
2017,379,6325.397649
1876,353,6360.592311
2251,421,6403.900642
2169,404,6444.633368
3601,647,6503.839376
2850,486,6544.867389
2687,348,6576.656672
2912,558,6626.306878
2036,515,6671.545314
1082,150,6685.452198
2765,684,6741.839019
1433,340,6769.282279
2673,630,6819.844561
1978,235,6838.296167
1532,209,6854.225352
1725,419,6885.878096
4359,1017,6963.521441
2513,500,7001.708466
1932,316,7028.08665
1445,257,7048.23082
1936,270,7068.653479
4375,780,7130.588434
1387,419,7162.35504
2112,294,7187.651803
1806,276,7211.411955
2067,449,7248.160328
1492,256,7269.23709
1558,221,7286.718442
1499,226,7304.122084
686,113,7311.453547
2302,486,7341.993004
2570,529,7377.227563
1981,356,7401.761562
1857,255,7419.953328
3188,510,7454.509393
1486,214,7469.534631
1799,269,7488.359076
2392,451,7519.14444
2175,377,7545.045317
2563,323,7566.849056
1877,274,7584.122085
1825,253,7599.750188
1048,172,7610.88189
1533,222,7624.928492
1507,220,7638.895019
1594,222,7652.758224
2157,332,7673.865382
1642,225,7688.517488
1495,251,7704.580753
1503,221,7719.881069
1885,246,7735.345635
2827,350,7757.410636
3925,506,7789.227934
2243,332,7809.514927
2449,338,7829.700715
1494,222,7843.089394
2685,357,7864.901587
2260,336,7885.064288
2011,275,7902.132672
1797,198,7914.224465
1963,269,7931.086046
2621,295,7949.403158
2066,351,7971.542205
1773,417,7998.801905
2290,507,8031.992939
1431,171,8043.680772
1803,202,8057.986955
2209,430,8086.700947
2574,358,8111.154785
1802,235,8127.995882
1434,191,8143.07449
2441,524,8185.156266
1463,207,8201.930648
2370,319,8225.132769
2560,299,8246.077411
1816,210,8261.221691
2633,477,8295.532098
1495,193,8309.589807
1967,420,8340.513593
1453,183,8354.731475
2454,536,8391.715852
3236,612,8436.293325
2227,315,8458.141433
2668,364,8484.383127
1972,232,8502.498629
1871,801,8560.425297
1813,203,8575.950512
2321,411,8607.311332
1800,182,8621.72031
1438,149,8633.820039
1819,201,8649.936967
2628,300,8671.337864
2194,413,8700.875
1465,170,8713.832008
1818,197,8728.125437
2222,259,8746.557769
1450,277,8768.270505
1531,238,8787.020797
2508,326,8809.827137
2934,492,8845.076872
3031,388,8873.105782
2083,302,8894.142531
3540,1969,9033.648835
2797,368,9062.234159
1811,193,9077.592493
1885,227,9093.889792
2152,340,9118.126163
1799,341,9143.277543
