#{"t_start": 1533577076.5859282, "env_id": "SuperMarioBros-v1"}
r,l,t
1057,154,2827.663331
1828,412,2848.242028
2140,521,2873.844631
1032,215,2884.677574
1444,342,2901.904804
1958,337,2918.500043
1428,265,2932.661715
2244,534,2961.148472
2242,501,2990.139426
2237,402,3014.474144
2197,943,3071.474302
1158,299,3090.820348
2053,365,3114.802003
3153,583,3157.519028
1472,242,3174.261287
1792,305,3199.048809
1409,237,3216.177146
1091,144,3226.593328
2271,403,3250.257798
2275,464,3278.792218
2598,579,3314.724561
1921,385,3339.778575
3083,540,3373.155567
2160,583,3408.328982
2796,667,3448.395211
2209,329,3468.98031
684,103,3475.835239
1058,149,3485.806852
1455,194,3499.090543
701,96,3506.548457
1454,750,3553.076494
2094,454,3579.488586
1433,247,3595.339975
1888,267,3613.159644
2283,469,3644.909131
2029,408,3671.036164
1456,183,3682.470672
1467,221,3696.77418
2027,321,3716.744987
2084,602,3753.219145
1921,274,3771.498239
1869,307,3790.827603
708,95,3796.963109
1191,521,3828.586446
2219,482,3859.00163
1872,330,3879.585878
1885,875,3933.78253
1639,256,3950.88057
1963,330,3971.272002
3325,429,3997.156479
1440,278,4014.251574
1541,356,4035.613587
1835,256,4051.760289
2295,328,4071.22681
1867,313,4090.31528
1545,331,4110.634196
1654,255,4127.738991
1848,312,4146.618972
706,97,4153.459485
1881,278,4170.376806
1065,151,4179.859456
1509,227,4195.118278
1460,189,4208.656759
2301,391,4233.212937
1489,222,4247.1998
1447,218,4261.956335
696,102,4268.831499
1084,159,4279.463762
1247,315,4299.061413
2009,324,4319.428928
701,96,4326.803571
2034,337,4348.078776
1124,132,4357.490891
706,100,4364.000565
1085,153,4374.130771
1428,672,4414.584825
1897,385,4437.757171
2149,363,4456.079493
708,95,4461.422455
1074,177,4470.673412
1063,175,4479.771779
1964,382,4498.738644
722,91,4503.750243
1438,303,4519.060388
1084,161,4527.818833
1578,272,4542.110404
1500,264,4555.257451
1851,411,4575.561179
707,95,4580.991694
1603,204,4591.771863
1868,308,4607.348964
699,98,4613.065814
710,94,4618.300372
711,101,4623.825604
722,91,4629.084938
1428,248,4641.770642
1065,192,4651.646545
1270,294,4666.349769
1114,198,4676.829042
1879,335,4693.752531
1084,200,4704.450305
1446,269,4718.02727
724,91,4722.981621
1510,234,4734.920973
716,90,4740.195556
1875,258,4753.158536
711,97,4758.782556
1099,152,4766.625499
1615,241,4778.979883
1083,143,4786.510019
1100,142,4794.329728
2152,385,4814.985461
2281,467,4838.019698
1064,209,4848.785481
707,98,4854.345674
698,100,4860.1575
1210,380,4879.225851
1076,197,4889.299693
1515,192,4899.453172
1453,297,4915.743167
706,98,4921.144614
1099,173,4930.089167
1885,311,4945.607158
701,95,4950.743334
1172,229,4962.209186
682,103,4967.896801
688,105,4973.915236
1047,264,4986.986913
1061,130,4994.042591
1548,539,5020.628268
1113,200,5031.182078
1443,245,5043.732437
713,90,5048.733516
1202,212,5059.851836
1209,609,5089.019328
1597,241,5101.036084
710,92,5105.914761
1077,123,5112.669121
1084,149,5120.659543
1083,154,5128.757506
1077,126,5135.821476
2226,422,5157.063437
1442,165,5165.644047
1084,123,5171.945439
713,98,5177.08528
2070,459,5199.881953
2137,294,5214.920238
703,98,5220.446571
1502,207,5231.156816
1098,147,5238.596912
1075,125,5245.464785
711,93,5250.49523
1070,137,5257.452472
697,96,5262.944926
