#{"t_start": 1533577076.5859282, "env_id": "SuperMarioBros-v1"}
r,l,t
1518,619,13.297821
1043,195,17.416497
1755,630,34.879316
1527,877,60.729724
1411,252,68.801214
1602,1504,116.872847
1515,1896,180.325443
996,243,188.977169
1536,983,222.59969
1468,553,244.708951
1974,642,274.925492
1334,1565,356.708859
1688,358,375.520407
1026,200,386.253182
1108,669,421.347046
2498,1417,494.656195
1461,383,515.009512
1699,654,548.829787
1386,595,579.263435
665,137,587.001486
1557,674,621.794814
674,121,628.575796
1848,495,652.784383
2224,659,685.694687
1841,422,708.649502
2550,712,744.704492
1478,729,781.96976
1793,734,819.189385
1799,1180,880.880729
996,221,893.532711
1602,768,934.89027
1934,871,981.091757
2455,819,1023.259643
1049,209,1034.975803
1831,353,1053.88395
2186,2158,1159.330036
630,163,1168.023964
1706,956,1216.8056
1078,300,1232.877081
2945,1348,1300.937189
990,231,1313.231273
1417,749,1351.355033
1033,261,1364.175599
2901,1458,1436.031416
1162,677,1469.913457
1879,779,1507.987117
2630,665,1546.148336
3124,721,1583.283411
1091,228,1595.010413
2526,1563,1675.288735
1424,251,1689.130551
1475,270,1702.754281
1866,1432,1772.998682
1634,355,1790.814351
1553,369,1810.494353
1597,316,1826.661963
1430,298,1842.302237
2661,668,1877.73404
1774,559,1907.259684
1432,293,1922.794026
1132,492,1947.974116
1802,316,1963.459883
1085,190,1973.291959
1116,213,1984.800076
1558,512,2012.383823
1033,340,2030.002808
2226,413,2053.846608
1972,450,2077.988115
2366,444,2099.637367
2062,413,2120.345508
1955,380,2139.389206
1781,303,2155.649833
1997,356,2174.066989
1697,345,2191.5807
1150,310,2208.636039
1461,252,2221.966682
2055,454,2245.516069
1048,153,2253.884281
2008,294,2269.848287
1081,161,2278.537762
1955,368,2297.934871
1240,391,2318.417892
1613,401,2338.739042
1436,261,2351.886167
3355,995,2402.012107
1582,234,2415.321029
2374,466,2439.36249
1620,347,2457.086469
1749,505,2482.268589
1442,384,2501.316422
1425,277,2515.682404
1663,331,2532.929025
2680,465,2555.888166
2172,582,2586.236949
2366,552,2614.33867
1111,168,2623.263134
2122,455,2646.488286
1665,450,2670.313899
1663,438,2692.420195
2430,821,2733.321813
1001,333,2751.096196
1846,279,2765.525465
1404,363,2784.059823
1505,357,2802.402118
1576,350,2819.612408
